name,album,num in album,is Explicit,num of words,duration in sec,path,num of obscenities
"Daylight",Lover,18,false,482,293,C:\Users\Ariel\Desktop\ProjectTaylor\Lover\Lover18.txt,0
"All Of The Girls You Loved Before",Lover,19,false,321,221,C:\Users\Ariel\Desktop\ProjectTaylor\Lover\Lover19.txt,0
"the 1",Folklore,1,true,307,210,C:\Users\Ariel\Desktop\ProjectTaylor\Folklore\Folklore1.txt,2
"cardigan",Folklore,2,false,336,239,C:\Users\Ariel\Desktop\ProjectTaylor\Folklore\Folklore2.txt,0
"the last great american dynasty",Folklore,3,true,329,231,C:\Users\Ariel\Desktop\ProjectTaylor\Folklore\Folklore3.txt,1
"exile",Folklore,4,false,480,285,C:\Users\Ariel\Desktop\ProjectTaylor\Folklore\Folklore4.txt,0
"​my tears ricochet",Folklore,5,false,310,255,C:\Users\Ariel\Desktop\ProjectTaylor\Folklore\Folklore5.txt,0
"mirrorball",Folklore,6,false,258,208,C:\Users\Ariel\Desktop\ProjectTaylor\Folklore\Folklore6.txt,0
"seven",Folklore,7,false,218,208,C:\Users\Ariel\Desktop\ProjectTaylor\Folklore\Folklore7.txt,0
"august",Folklore,8,false,397,261,C:\Users\Ariel\Desktop\ProjectTaylor\Folklore\Folklore8.txt,0
"​this is me trying",Folklore,9,false,260,195,C:\Users\Ariel\Desktop\ProjectTaylor\Folklore\Folklore9.txt,0
"​illicit affairs",Folklore,10,false,239,190,C:\Users\Ariel\Desktop\ProjectTaylor\Folklore\Folklore10.txt,1
"​invisible string",Folklore,11,false,298,252,C:\Users\Ariel\Desktop\ProjectTaylor\Folklore\Folklore11.txt,0
"​mad woman",Folklore,12,true,314,237,C:\Users\Ariel\Desktop\ProjectTaylor\Folklore\Folklore12.txt,0
"epiphany",Folklore,13,false,183,289,C:\Users\Ariel\Desktop\ProjectTaylor\Folklore\Folklore13.txt,0
"betty",Folklore,14,true,455,294,C:\Users\Ariel\Desktop\ProjectTaylor\Folklore\Folklore14.txt,2
"peace",Folklore,15,true,287,234,C:\Users\Ariel\Desktop\ProjectTaylor\Folklore\Folklore15.txt,1
"hoax",Folklore,16,false,242,220,C:\Users\Ariel\Desktop\ProjectTaylor\Folklore\Folklore16.txt,0
"​the lakes",Folklore,17,false,232,211,C:\Users\Ariel\Desktop\ProjectTaylor\Folklore\Folklore17.txt,0
"willow",Evermore,1,false,408,214,C:\Users\Ariel\Desktop\ProjectTaylor\Evermore\Evermore1.txt,0
"​champagne problems",Evermore,2,true,286,244,C:\Users\Ariel\Desktop\ProjectTaylor\Evermore\Evermore2.txt,0
"gold rush",Evermore,3,true,339,185,C:\Users\Ariel\Desktop\ProjectTaylor\Evermore\Evermore3.txt,2
"​’tis the damn season",Evermore,4,false,408,229,C:\Users\Ariel\Desktop\ProjectTaylor\Evermore\Evermore4.txt,4
"​tolerate it",Evermore,5,true,314,245,C:\Users\Ariel\Desktop\ProjectTaylor\Evermore\Evermore5.txt,2
"​no body, no crime ft. HAIM",Evermore,6,false,397,215,C:\Users\Ariel\Desktop\ProjectTaylor\Evermore\Evermore6.txt,0
"​happiness",Evermore,7,true,431,315,C:\Users\Ariel\Desktop\ProjectTaylor\Evermore\Evermore7.txt,1
"​dorothea",Evermore,8,false,244,225,C:\Users\Ariel\Desktop\ProjectTaylor\Evermore\Evermore8.txt,0
"​coney island",Evermore,9,false,424,275,C:\Users\Ariel\Desktop\ProjectTaylor\Evermore\Evermore9.txt,0
"ivy",Evermore,10,true,368,260,C:\Users\Ariel\Desktop\ProjectTaylor\Evermore\Evermore10.txt,0
"​cowboy like me",Evermore,11,true,342,275,C:\Users\Ariel\Desktop\ProjectTaylor\Evermore\Evermore11.txt,1
"​l​ong story short",Evermore,12,false,406,215,C:\Users\Ariel\Desktop\ProjectTaylor\Evermore\Evermore12.txt,0
"marjorie",Evermore,13,false,320,257,C:\Users\Ariel\Desktop\ProjectTaylor\Evermore\Evermore13.txt,0
"​closure",Evermore,14,false,230,180,C:\Users\Ariel\Desktop\ProjectTaylor\Evermore\Evermore14.txt,0
"evermore",Evermore,15,false,362,304,C:\Users\Ariel\Desktop\ProjectTaylor\Evermore\Evermore15.txt,0
"​r​ight where you left me",Evermore,16,false,407,245,C:\Users\Ariel\Desktop\ProjectTaylor\Evermore\Evermore16.txt,0
"​it’s time to go",Evermore,17,false,377,254,C:\Users\Ariel\Desktop\ProjectTaylor\Evermore\Evermore17.txt,0
"Lavender Haze",Midnights,1,true,301,202,C:\Users\Ariel\Desktop\ProjectTaylor\Midnights\Midnights1.txt,10
"Maroon",Midnights,2,true,350,218,C:\Users\Ariel\Desktop\ProjectTaylor\Midnights\Midnights2.txt,1
"Anti-Hero",Midnights,3,false,333,200,C:\Users\Ariel\Desktop\ProjectTaylor\Midnights\Midnights3.txt,0
"Snow On The Beach ft. Lana Del Ray",Midnights,4,true,451,256,C:\Users\Ariel\Desktop\ProjectTaylor\Midnights\Midnights4.txt,0
"You’re On Your Own, Kid",Midnights,5,false,297,194,C:\Users\Ariel\Desktop\ProjectTaylor\Midnights\Midnights5.txt,0
"Midnight Rain",Midnights,6,false,283,174,C:\Users\Ariel\Desktop\ProjectTaylor\Midnights\Midnights6.txt,0
"Question...?",Midnights,7,true,432,210,C:\Users\Ariel\Desktop\ProjectTaylor\Midnights\Midnights7.txt,0
"Vigilante Shit",Midnights,8,true,259,164,C:\Users\Ariel\Desktop\ProjectTaylor\Midnights\Midnights8.txt,1
"Bejeweled",Midnights,9,false,426,194,C:\Users\Ariel\Desktop\ProjectTaylor\Midnights\Midnights9.txt,0
"Labyrinth",Midnights,10,false,277,247,C:\Users\Ariel\Desktop\ProjectTaylor\Midnights\Midnights10.txt,0
"Karma",Midnights,11,true,383,204,C:\Users\Ariel\Desktop\ProjectTaylor\Midnights\Midnights11.txt,1
"Sweet Nothing",Midnights,12,false,269,188,C:\Users\Ariel\Desktop\ProjectTaylor\Midnights\Midnights12.txt,0
"Mastermind",Midnights,13,false,336,191,C:\Users\Ariel\Desktop\ProjectTaylor\Midnights\Midnights13.txt,0
"The Great War",Midnights,14,false,346,240,C:\Users\Ariel\Desktop\ProjectTaylor\Midnights\Midnights14.txt,0
"Bigger Than The Whole Sky",Midnights,15,false,249,218,C:\Users\Ariel\Desktop\ProjectTaylor\Midnights\Midnights15.txt,0
"Paris",Midnights,16,false,310,196,C:\Users\Ariel\Desktop\ProjectTaylor\Midnights\Midnights16.txt,0
